site_number,period_name,period_id
23,Ch,9.0
23,EBA,1.0
23,MBA,2.0
23,LBA,3.0
23,G,5.0
23,C,6.0
24,LCh,16.0
24,EBA,1.0
24,MBA,2.0
24,LBA,3.0
24,IA,10.0
24,A,11.0
24,C,6.0
24,HL,7.0
24,R,8.0
24,Byz,14.0
24,IP,15.0
25,Ch,9.0
25,EBA,1.0
25,MBA,2.0
25,LBA,3.0
25,IA,10.0
25,HL,7.0
25,R,8.0
26,LBA,3.0
26,G,5.0
26,A,11.0
26,C,6.0
26,HL,7.0
26,R,8.0
26,Byz-IP,12.0
27,MBA,2.0
27,LBA,3.0
27,A,11.0
27,C,6.0
27,HL,7.0
27,R,8.0
27,Byz,14.0
27,IP,15.0
28,Ch,9.0
28,EBA,1.0
28,MBA,2.0
28,LBA,3.0
28,IA,10.0
28,C,6.0
28,HL,7.0
28,R,8.0
28,Byz,14.0
28,IP,15.0
29,EBA,1.0
29,MBA,2.0
29,LBA,3.0
29,C,6.0
29,HL,7.0
29,R,8.0
29,Byz,14.0
29,IP,15.0
30,Ch,9.0
30,EBA,1.0
30,MBA,2.0
30,LBA,3.0
30,IA,10.0
30,A,11.0
30,C,6.0
30,HL,7.0
30,R,8.0
30,Byz,14.0
30,IP,15.0
31,EBA,1.0
31,LBA,3.0
31,A,11.0
31,C,6.0
31,HL,7.0
31,R,8.0
31,Byz,14.0
32,LBA,3.0
32,IA,10.0
32,A,11.0
32,C,6.0
32,HL,7.0
32,R,8.0
33,,
34,,
35,,
36,LCh,16.0
36,EBA,1.0
36,MBA,2.0
36,LBA,3.0
36,IA,10.0
37,Ch,9.0
37,EBA,1.0
37,MBA,2.0
37,LBA,3.0
38,EBA,1.0
38,LBA,3.0
39,LBA,3.0
39,C,6.0
39,HL,7.0
40,EBA,1.0
40,MBA,2.0
40,LBA,3.0
40,Byz,14.0
41,Ch,9.0
41,EBA,1.0
41,MBA,2.0
41,LBA,3.0
41,HL,7.0
41,R,8.0
41,Byz,14.0
42,LCh,16.0
42,EBA,1.0
42,MBA,2.0
42,LBA,3.0
42,IA,10.0
42,HL,7.0
42,R,8.0
42,Byz,14.0
42,IP,15.0
43,LBA,3.0
43,IA,10.0
43,A,11.0
43,C,6.0
43,HL,7.0
43,R,8.0
43,Byz,14.0
44,EBA,1.0
44,MBA,2.0
44,LBA,3.0
44,IA,10.0
44,HL,7.0
44,R,8.0
45,EBA,1.0
45,MBA,2.0
45,LBA,3.0
46,EBA,1.0
46,MBA,2.0
46,LBA,3.0
47,EBA,1.0
47,MBA,2.0
47,LBA,3.0
47,IA,10.0
47,HL,7.0
47,R,8.0
47,Byz,14.0
47,IP,15.0
48,EBA 3,18.0
48,MBA,2.0
48,LBA,3.0
48,C,6.0
48,Byz,14.0
49,LBA,3.0
49,C,6.0
50,EBA,1.0
50,MBA,2.0
50,LBA,3.0
50,IA,10.0
51,Ch,9.0
51,EBA,1.0
51,MBA,2.0
51,LBA,3.0
51,IA,10.0
52,LCh,16.0
52,EBA 2-3,
52,MBA,2.0
52,LBA,3.0
53,EBA,1.0
53,MBA,2.0
53,LBA,3.0
54,EBA,1.0
54,MBA,2.0
54,LBA,3.0
55,EBA,1.0
55,MBA,2.0
55,LBA,3.0
56,EBA 2-3,
56,MBA,2.0
56,LBA,3.0
56,C,6.0
57,EBA,1.0
57,MBA,2.0
57,LBA,3.0
58,EBA 3,18.0
58,MBA,2.0
58,LBA,3.0
58,IA,10.0
58,C,6.0
59,MBA,2.0
59,LBA,3.0
59,C,6.0
60,LBA,3.0
60,IA,10.0
60,C,6.0
61,EBA 2-3,
61,MBA,2.0
61,LBA,3.0
61,C,6.0
62,EBA 2-3,
62,MBA,2.0
62,LBA,3.0
63,EBA 2-3,
63,MBA,2.0
63,LBA,3.0
63,IA,10.0
63,C,6.0
64,EBA,1.0
64,MBA,2.0
64,LBA,3.0
64,IA,10.0
64,HL,7.0
64,R,8.0
65,MBA,2.0
65,LBA,3.0
65,IA,10.0
66,Pal,19.0
66,EBA,1.0
66,MBA,2.0
66,LBA,3.0
66,Byz,14.0
67,EBA 2-3,
67,MBA,2.0
67,LBA,3.0
68,EBA,1.0
68,MBA,2.0
68,LBA,3.0
69,EBA 2-3,
69,MBA,2.0
69,LBA,3.0
69,IA,10.0
70,EBA 2-3,
70,MBA,2.0
70,LBA,3.0
70,IA,10.0
71,EBA 2-3,
71,MBA,2.0
71,LBA,3.0
72,LBA,3.0
72,C,6.0
73,MBA,2.0
73,LBA,3.0
73,R,8.0
74,EBA,1.0
74,MBA,2.0
74,LBA,3.0
75,EBA,1.0
75,MBA,2.0
75,LBA,3.0
75,R,8.0
76,EBA,1.0
76,MBA,2.0
76,LBA,3.0
76,IA,10.0
76,HL,7.0
76,R,8.0
77,N,26.0
77,EBA,1.0
77,MBA,2.0
77,LBA,3.0
77,R,8.0
78,EBA,1.0
78,MBA,2.0
78,LBA,3.0
79,EBA 2-3,
79,MBA,2.0
79,LBA,3.0
79,HL,7.0
79,R,8.0
80,EBA,1.0
80,MBA,2.0
80,LBA,3.0
81,EBA,1.0
81,LBA,3.0
81,IA,10.0
81,C,6.0
81,HL,7.0
81,R,8.0
81,Byz-IP,12.0
82,Ch,9.0
82,EBA,1.0
82,MBA,2.0
82,LBA,3.0
82,R,8.0
82,Byz,14.0
83,LBA,3.0
84,LBA,3.0
84,C,6.0
84,HL,7.0
85,Ch,9.0
85,EBA,1.0
85,LBA,3.0
85,R,8.0
85,Byz,14.0
86,MBA,2.0
86,LBA,3.0
86,A,11.0
86,HL,7.0
87,Ch,9.0
87,EBA,1.0
87,LBA,3.0
88,LBA,3.0
88,IA,10.0
89,MBA,2.0
89,LBA,3.0
90,Ch,9.0
90,EBA,1.0
90,MBA,2.0
90,LBA,3.0
90,Byz,14.0
90,IP,15.0
91,LBA,3.0
91,A,11.0
91,C,6.0
91,HL,7.0
91,R,8.0
91,Byz,14.0
92,EBA,1.0
92,LBA,3.0
92,C,6.0
92,HL,7.0
92,R,8.0
93,LCh,16.0
93,EBA,1.0
93,MBA,2.0
93,IA,10.0
93,HL,7.0
93,R,8.0
94,LN,17.0
94,Ch,9.0
94,EBA,1.0
94,MBA,2.0
94,LBA,3.0
94,A,11.0
94,C,6.0
94,HL,7.0
94,R,8.0
94,Byz,14.0
95,EBA,1.0
95,LBA,3.0
95,HL,7.0
95,R,8.0
95,Byz,14.0
96,LBA,3.0
96,C,6.0
97,EBA,1.0
97,LBA,3.0
98,LCh,16.0
98,EBA,1.0
98,MBA,2.0
98,LBA,3.0
98,HL,7.0
98,R,8.0
98,BYZ,14.0
99,MBA,2.0
99,HL,7.0
99,R,8.0
100,MBA,2.0
101,MBA,2.0
102,MBA,2.0
102,LBA,3.0
103,LBA,3.0
103,EIA,21.0
103,A,11.0
103,C,6.0
103,R,8.0
103,Byz,14.0
104,MBA,2.0
104,LBA,3.0
105,EBA,1.0
105,MBA,2.0
105,LBA,3.0
105,C,6.0
105,HLL,13.0
105,R,8.0
106,EBA,1.0
106,LBA,3.0
106,HL,7.0
106,R,8.0
107,LBA,3.0
107,A,11.0
107,C,6.0
107,R,8.0
108,EBA,1.0
108,LBA,3.0
109,LBA,3.0
110,LBA,3.0
111,LCh,16.0
111,EBA,1.0
111,LBA,3.0
111,IA,10.0
111,A,11.0
111,C,6.0
112,LBA,3.0
112,A,11.0
112,C,6.0
113,EBA,1.0
113,MBA,2.0
113,LBA,3.0
114,EBA,1.0
114,LBA,3.0
115,EBA,1.0
115,MBA,2.0
116,EBA,1.0
116,LBA,3.0
117,LBA,3.0
117,C,6.0
117,HL,7.0
118,EBA,1.0
118,MBA,2.0
118,LBA,3.0
118,HL,7.0
118,R,8.0
119,LBA,3.0
119,C,6.0
119,HL,7.0
120,Ch,9.0
120,EBA,1.0
120,MBA,2.0
120,LBA,3.0
120,R,8.0
121,Ch,9.0
121,EBA,1.0
121,MBA,2.0
121,LBA,3.0
121,HL,7.0
121,Byz,14.0
122,EBA,1.0
122,MBA,2.0
122,LBA,3.0
123,EBA,1.0
123,MBA,2.0
123,LBA,3.0
124,Ch,9.0
124,EBA,1.0
124,MBA,2.0
124,LBA,3.0
124,IA,10.0
125,LCh,16.0
125,EBA,1.0
125,MBA,2.0
125,LBA,3.0
126,EBA,1.0
126,MBA,2.0
126,LBA,3.0
127,EBA,1.0
127,MBA,2.0
127,LBA,3.0
128,EBA,1.0
128,MBA,2.0
128,LBA,3.0
129,Ch,9.0
129,EBA,1.0
129,MBA,2.0
130,EBA,1.0
130,MBA,2.0
130,LBA,3.0
131,Ch,9.0
131,EBA,1.0
131,MBA,2.0
131,LBA,3.0
132,EBA,1.0
132,MBA,2.0
132,LBA,3.0
133,EBA,1.0
133,MBA,2.0
133,LBA;,
134,Ch,9.0
134,EBA,1.0
134,MBA,2.0
135,EBA,1.0
135,MBA,2.0
136,LCh,16.0
136,EBA,1.0
136,MBA,2.0
136,HL,7.0
136,R,8.0
137,Ch,9.0
137,EBA,1.0
137,MBA,2.0
137,LBA,3.0
137,IA,10.0
138,Ch,9.0
138,EBA,1.0
138,MBA,2.0
138,LBA,3.0
139,MBA,2.0
139,LBA,3.0
140,LBA,3.0
140,HL,7.0
140,R,8.0
141,EBA,1.0
141,MBA,2.0
141,LBA,3.0
142,Ch,9.0
142,EBA,1.0
142,MBA,2.0
142,LBA,3.0
142,A,11.0
142,HL,7.0
142,R,8.0
143,Ch,9.0
143,EBA,1.0
143,MBA,2.0
143,LBA,3.0
144,LBA,3.0
144,HL,7.0
145,EBA,1.0
145,MBA,2.0
145,LBA,3.0
146,EBA,1.0
146,MBA,2.0
146,LBA,3.0
147,LBA,3.0
147,Byz-IP,12.0
148,LCh,16.0
148,EBA,1.0
148,MBA,2.0
148,LBA,3.0
149,Ch,9.0
149,EBA,1.0
149,MBA,2.0
149,LBA,3.0
150,N,26.0
150,Ch,9.0
150,EBA,1.0
150,MBA,2.0
150,LBA,3.0
150,IA,10.0
150,A,11.0
151,N,26.0
151,Ch,9.0
151,EBA,1.0
151,MBA,2.0
151,LBA,3.0
151,IA,10.0
151,A,11.0
151,C,6.0
151,HL,7.0
151,R,8.0
152,LBA,3.0
152,IA,10.0
152,A,11.0
